make	probed_nameplate	vehicles	rows	outcome	outcome_live	suggest	raw_samples
Toyota	Yaris Ativ	53642	1	toyota/yaris-ativ	LIVE	toyota/yaris-ativ	YARIS ATIV
Toyota	Yaris Cross	34709	1	toyota/yaris-cross	LIVE	toyota/yaris-cross	YARIS CROSS
Honda	City	29097	2	honda/city	LIVE	honda/city	CITY | CITY HATCHBACK
Isuzu	D-Max	26832	1	isuzu/d-max	LIVE	isuzu/d-max	D-MAX
Toyota	Hilux Revo	24761	1	toyota/hilux	LIVE	toyota/hilux	HILUX REVO
Honda	HR-V	22051	1	honda/hr-v	LIVE	honda/hr-v	HR-V
Toyota	Corolla Cross	14458	1	toyota/corolla-cross	LIVE	toyota/corolla-cross	COROLLA CROSS
Toyota	Fortuner	14321	1	toyota/fortuner	LIVE	toyota/fortuner	FORTUNER
BYD	Dolphin	12377	2	byd/dolphin	LIVE	byd/dolphin	BYD DOLPHIN (435KM-STD) | BYD DOLPHIN (490KM-EXT)
Isuzu	Mu-X	12145	1	isuzu/mu-x	LIVE	isuzu/mu-x	MU-X
Honda	Civic	11140	1	honda/civic	LIVE	honda/civic	CIVIC
MG	MG4	10759	1	mg/mg4	LIVE	mg/mg4	MG4 ELECTRIC
Ford	Ranger	9019	2	ford/ranger	LIVE	ford/ranger	FORD RANGER | RANGER
Toyota	Commuter	8041	1	toyota/commuter	LIVE	toyota/commuter	COMMUTER
BYD	ATTO3	7913	3	byd/atto-3	LIVE		BYD ATTO3 (410KM-DYNAMIC) | BYD ATTO3 (410KM-PREMIUM) | BYD ATTO3 (480KM-EXT)
Ford	Everest	7908	2	ford/everest	LIVE	ford/everest	EVEREST | FORD EVEREST
BYD	Sealion 6	7843	3	byd/sealion-6	LIVE	byd/sealion-6	BYD SEALION 6 | BYD SEALION 6 DM-i DYNAMIC | BYD SEALION 6 DM-i PREMIUM
Toyota	Camry	7330	2	toyota/camry	LIVE	toyota/camry	Camry | CAMRY
Honda	Cr-V	6369	1	honda/cr-v	LIVE	honda/cr-v	CR-V
Ora	Good Cat	5946	1	ora/good-cat	LIVE	ora/good-cat	GOOD CAT
Toyota	Yaris	5636	1	toyota/yaris	LIVE	toyota/yaris	YARIS
Jaecoo	5 EV Long Range Max	5514	1	jaecoo/jaecoo-5	LIVE		5 EV Long Range Max
Great Wall	Tank 300	4591	1	great-wall/tank-300	LIVE	great-wall/tank-300	GWM TANK 300
BYD	Sealion 7	4485	1	byd/sealion-7	LIVE	byd/sealion-7	BYD SEALION 7 AWD
Mitsubishi	Triton	4324	1	mitsubishi/triton	LIVE	mitsubishi/triton	TRITON
Toyota	Corolla	4290	1	toyota/corolla	LIVE	toyota/corolla	COROLLA
Mitsubishi	Xpander Cross HEV	4230	1	mitsubishi/xpander-cross	LIVE	mitsubishi/xpander-cross	XPANDER CROSS HEV
Deepal	S07	4214	1	deepal/s07	LIVE	deepal/s07	S07
Mitsubishi	Xforce HEV	4103	1	mitsubishi/xforce	LIVE	mitsubishi/xforce	XFORCE HEV
Aion	V 602 Luxury	4086	1	aion/v-602-luxury	LIVE	aion/v-602-luxury	AION V 602 LUXURY
Toyota	Veloz	3947	1	toyota/veloz	LIVE	toyota/veloz	VELOZ
Mazda	2	3932	1	mazda/mazda2	LIVE		MAZDA 2
BYD	Sealion 7 Rwd	3887	1	byd/sealion-7	LIVE	byd/sealion-7	BYD SEALION 7 RWD
Tesla	Model Y	3460	4	tesla/model-y	LIVE	tesla/model-y	Model Y Rear-Wheel Drive | MODEL Y LONG RANGE | MODEL Y PERFORMANCE | MODEL Y RWD
