X9 Long Range	X9	https://xpeng.co.th/x9/
X9 Standard Range	X9	https://xpeng.co.th/x9/
Ut 500 Premium	Ut	https://car.ecosticker.go.th/detail/08c2a0e6-b0e0-42bf-ae1a-4eea399db94c [Thai Excise Dept ECO Sticker certification record; the /detail page is a client-rendered SPA — the record was read from the register public JSON API on the same origin, not rendered]
S05 Reev Max	S05	https://www.changan.co.th/th/deepal/s05-reev-th/
S05 Plus	S05	https://www.changan.co.th/th/deepal/s05-th/
V23 2WD Plus	V23	https://car.ecosticker.go.th/detail/016949d2-1c24-498f-b260-770868d75e7b [Thai Excise Dept ECO Sticker certification record; the /detail page is a client-rendered SPA — the record was read from the register public JSON API on the same origin, not rendered]
V23 2WD Play	V23	https://car.ecosticker.go.th/detail/9c332876-c63b-4692-b812-d888e85d4cd8 [Thai Excise Dept ECO Sticker certification record; the /detail page is a client-rendered SPA — the record was read from the register public JSON API on the same origin, not rendered]
H6 HEV Ultra	H6	https://www.gwm.co.th/en/models/haval-h6
S07 L	S07	https://www.changan.co.th/th/deepal/s07-th/
G6 Rwd Long Range	G6	https://xpeng.co.th/g6/
Forester 2.0I-S Es	Forester	https://www.subaru.asia/my/en/forester/
Xv 2.0I-P Es	Xv	https://www.subaru.asia/th/en/xv/
Y Plus 490 Premium	Y Plus	https://car.ecosticker.go.th/detail/2558d4e8-a7d2-4f99-b513-baf08070c26f [Thai Excise Dept ECO Sticker certification record; the /detail page is a client-rendered SPA — the record was read from the register public JSON API on the same origin, not rendered]
6 EV Long Range 2WD Pro	Jaecoo 6	https://www.omodajaecoo.co.th/en/model/jaecoo-6-ev
6 EV Long Range 2WD	Jaecoo 6	https://www.omodajaecoo.co.th/en/model/jaecoo-6-ev
7 Shs Max	Jaecoo 7	https://www.omodajaecoo.co.th/th/model/jaecoo-7-shs
5 EV Long Range Dynamic	Jaecoo 5	https://www.omodajaecoo.co.th/en/model/jaecoo-5-ev
L07 S	L07	https://car.ecosticker.go.th/detail/76117c9d-4828-4503-9a09-4771db05d68e [Thai Excise Dept ECO Sticker certification record; the /detail page is a client-rendered SPA — the record was read from the register public JSON API on the same origin, not rendered]
C5 EV Long Range Ultimate	Omoda E5	https://omodaauto.co.uk/omoda-5/?model=e5-electric
C5 EV Long Range Plus	Omoda E5	https://omodaauto.co.uk/omoda-5/?model=e5-electric
C5 EV Long Range Dynamic	Omoda E5	https://omodaauto.co.uk/omoda-5/?model=e5-electric
C10 EV	C10	https://car.ecosticker.go.th/detail/26a828cb-5bf0-4c3f-b8b3-1d94d2548478 [Thai Excise Dept ECO Sticker certification record; the /detail page is a client-rendered SPA — the record was read from the register public JSON API on the same origin, not rendered]
Forester 2.0I-L Es	Forester	https://car.ecosticker.go.th/detail/22d882e7-6178-4849-a8fb-34e40c33dd4e [Thai Excise Dept ECO Sticker certification record; the /detail page is a client-rendered SPA — the record was read from the register public JSON API on the same origin, not rendered]
Xm 50E Rhd	XM	https://car.ecosticker.go.th/detail/4ca15955-33e6-4432-9b6c-c06d098fa07c [Thai Excise Dept ECO Sticker certification record; the /detail page is a client-rendered SPA — the record was read from the register public JSON API on the same origin, not rendered]
Eletre S	Eletre	https://car.ecosticker.go.th/detail/dfd41df4-1181-4113-b916-a777e3ee8e49 [Thai Excise Dept ECO Sticker certification record; the /detail page is a client-rendered SPA — the record was read from the register public JSON API on the same origin, not rendered]
Eletre R	Eletre	https://car.ecosticker.go.th/detail/bc1ae94b-6db1-4644-96dd-fba2214c3229 [Thai Excise Dept ECO Sticker certification record; the /detail page is a client-rendered SPA — the record was read from the register public JSON API on the same origin, not rendered]
B10 Design Bev	B10	https://car.ecosticker.go.th/detail/442a7226-8a53-4597-9c63-cca82a61301d [Thai Excise Dept ECO Sticker certification record; the /detail page is a client-rendered SPA — the record was read from the register public JSON API on the same origin, not rendered]
H6 HEV Pro	H6	https://www.gwm.co.th/en/models/haval-h6
Emeya R	Emeya	https://car.ecosticker.go.th/detail/d7af9040-28dc-4d70-a793-ccbcdccd9c58 [Thai Excise Dept ECO Sticker certification record; the /detail page is a client-rendered SPA — the record was read from the register public JSON API on the same origin, not rendered]
Outback 2.5I-T Eyesight	Outback	https://car.ecosticker.go.th/detail/9f177938-dd8e-4faa-bf38-fc0a67a0e519 [Thai Excise Dept ECO Sticker certification record; the /detail page is a client-rendered SPA — the record was read from the register public JSON API on the same origin, not rendered]
Xv 2.0I-P	Xv	https://car.ecosticker.go.th/detail/81f7acd1fad441eaaf1d9082c4150171 [Thai Excise Dept ECO Sticker certification record; the /detail page is a client-rendered SPA — the record was read from the register public JSON API on the same origin, not rendered]
Brz 2.4 Rwd Eyesight 6AT	Brz	https://car.ecosticker.go.th/detail/73dfb128-4d2b-4db9-90db-fac75c1d473e [Thai Excise Dept ECO Sticker certification record; the /detail page is a client-rendered SPA — the record was read from the register public JSON API on the same origin, not rendered]
Wrx Wagon 2.4 Eyesight	Wrx	https://car.ecosticker.go.th/detail/5f60b86f-d47f-4fac-b770-0ef00026e37b [Thai Excise Dept ECO Sticker certification record; the /detail page is a client-rendered SPA — the record was read from the register public JSON API on the same origin, not rendered]
Brz 2.4 Eyesight Rwd 6AT	Brz	https://car.ecosticker.go.th/detail/c5719ab7-36e1-4972-977e-60dc0580ad0d [Thai Excise Dept ECO Sticker certification record; the /detail page is a client-rendered SPA — the record was read from the register public JSON API on the same origin, not rendered]
Wrx 4D 2.4 Eyesight	Wrx	https://car.ecosticker.go.th/detail/bb4b866b-4b35-4c5d-af68-8d7768886ef0 [Thai Excise Dept ECO Sticker certification record; the /detail page is a client-rendered SPA — the record was read from the register public JSON API on the same origin, not rendered]
Brz 2.4 Eyesight Rwd 6MT	Brz	https://car.ecosticker.go.th/detail/05e705aa-ca1f-4192-87e8-3d08d9895abc [Thai Excise Dept ECO Sticker certification record; the /detail page is a client-rendered SPA — the record was read from the register public JSON API on the same origin, not rendered]
Wrx 4D 2.4	Wrx	https://car.ecosticker.go.th/detail/9ecb54cc-4720-4418-8682-9369c3053b32 [Thai Excise Dept ECO Sticker certification record; the /detail page is a client-rendered SPA — the record was read from the register public JSON API on the same origin, not rendered]
Xm Label Rhd	XM	https://car.ecosticker.go.th/detail/c5c43185-7560-49a5-bdde-104f8e128319 [Thai Excise Dept ECO Sticker certification record; the /detail page is a client-rendered SPA — the record was read from the register public JSON API on the same origin, not rendered]
Xm Rhd	XM	https://car.ecosticker.go.th/detail/b18e6b26-7106-4afd-b1ec-a777422c97e5 [Thai Excise Dept ECO Sticker certification record; the /detail page is a client-rendered SPA — the record was read from the register public JSON API on the same origin, not rendered]
Emira V6 First Edition	Emira	https://www.lotuscars.com/en-GB/emira
Emira I4 First Edition	Emira	https://www.lotuscars.com/en-GB/emira
Brz 2.4 Rwd 6MT	Brz	https://car.ecosticker.go.th/detail/23173ac3-85ef-49e7-8fe1-432865249f92 [Thai Excise Dept ECO Sticker certification record; the /detail page is a client-rendered SPA — the record was read from the register public JSON API on the same origin, not rendered]
Forester 2.0I-S	Forester	https://car.ecosticker.go.th/detail/9337be4e-fe81-4ced-95e3-864beb1426e2 [Thai Excise Dept ECO Sticker certification record; the /detail page is a client-rendered SPA — the record was read from the register public JSON API on the same origin, not rendered]
Wrx S4 Sti Sport R EX	Wrx	https://www.subaru.jp/wrx/s4/
B10 Life Bev	B10	https://car.ecosticker.go.th/detail/aecfc824-acdb-4025-8f8d-f0d5cc7711d9 [Thai Excise Dept ECO Sticker certification record; the /detail page is a client-rendered SPA — the record was read from the register public JSON API on the same origin, not rendered]
