stratum                           pop    drawn
moped|1-3|large                    18        9
moped|1-3|mid                     240       16
moped|1-3|small                   120       12
moped|4-6|large                    69       10
moped|4-6|mid                     201       15
moped|4-6|small                   238       16
moped|7-10|large                   56       10
moped|7-10|mid                    172       14
moped|7-10|small                  256       17
motorcycle|1-3|large              748       34
motorcycle|1-3|mid                182       14
motorcycle|1-3|small               92       11
motorcycle|4-6|large             1783       70
motorcycle|4-6|mid                581       28
motorcycle|4-6|small              157       14
motorcycle|7-10|large            1443       58
motorcycle|7-10|mid               748       34
motorcycle|7-10|small             281       18
TOTAL                            7385      400
wrote /Users/javi/GitHub/.vdb-worktrees/aud-data/data/review/audit-v2026.09.1/SAMPLE-s2w.yml
