NOTE: n=200 is below the stratum-floor total (279) — floors scaled down proportionally; a full round wants n ≥ 279
stratum                           pop    drawn
bus|1-3|mid                        40        6
bus|1-3|small                      46        6
bus|4-6|mid                        93        6
bus|4-6|small                      72        6
bus|7-10|mid                       91        6
bus|7-10|small                     61        6
car|1-3|large                     190        6
car|1-3|mid                       342        6
car|1-3|small                      56        6
car|4-6|large                     714        6
car|4-6|mid                      1150        6
car|4-6|small                     180        6
car|7-10|large                    835        6
car|7-10|mid                     1548        6
car|7-10|small                    320        6
car|none|large                     12        8
car|none|mid                       96       11
car|none|small                     12        8
truck|1-3|large                    77        6
truck|1-3|mid                      58        6
truck|1-3|small                    34        6
truck|4-6|large                   161        6
truck|4-6|mid                     133        6
truck|4-6|small                    75        6
truck|7-10|large                  150        6
truck|7-10|mid                    165        6
truck|7-10|small                   70        5
van|1-3|mid                       107        5
van|1-3|small                      39        5
van|4-6|mid                       181        5
van|4-6|small                     108        5
van|7-10|mid                      169        5
van|7-10|small                    116        5
TOTAL                            7501      200
wrote /Users/javi/GitHub/.vdb-worktrees/aud-data/data/review/audit-v2026.09.1/SAMPLE-s4w.yml
